证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
110077.SH,洪城环境,洪城转债,600461.SH,30,15,130,7.43,2021/5/26,2026/11/19,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
110079.SH,杭州银行,杭银转债,600926.SH,30,15,130,14.96,2021/10/8,2027/3/28,2021/11/2,"在本次发行可转债的转股期内，如果本行A股普通股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），本行有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起本行转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，本行有权按面值加当期应计利息的价格赎回全部未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365；IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
110080.SH,东湖高新,东湖转债,600133.SH,30,15,130,6.07,2021/10/18,2027/4/11,2021/11/2,"在本次可转债转股期内，如果下述两种情形的任意一种出现时，公司有权按照本次可转债面值加当期应计利息的价格赎回全部或部分未转股的本次可转债：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次可转债未转股余额不足人民币3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次可转债持有人持有的将赎回的本次可转债票面总金额；i：指本次可转债当年票面利率；t：指计息天数，首个付息日前，指从计息起始日起至本计息年度赎回日止的实际日历天数（算头不算尾）；首个付息日后，指从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113009.SH,广汽集团,广汽转债,601238.SH,30,15,130,23.74,2016/7/22,2022/1/21,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次发行的A股可转债的票面面值的106%（含最后一期年度利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的A股可转债：1）在转股期内，如果公司A股股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。2）当本次发行的A股可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的A股可转债持有人持有的可转债票面总金额；i：指A股可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113011.SH,光大银行,光大转债,601818.SH,30,15,130,4.09,2017/9/18,2023/3/16,2021/11/2,"（1）到期赎回条款：在本次发行的可转债期满后五个交易日内，本行将以本次发行的可转债的票面面值的105%（含最后一期年度利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款：在本次发行可转债的转股期内，如果本行A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），本行有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起本行转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，本行有权按面值加当期应计利息的价格赎回全部未转股的可转债。"
113013.SH,国泰君安,国君转债,601211.SH,30,15,130,19.46,2018/1/8,2023/7/6,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值的105%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，在调整后的交易日按调整后的转股价格和收盘价计算。"
113016.SH,小康股份,小康转债,601127.SH,30,15,130,17.97,2018/5/11,2023/11/5,2021/11/2,"（1）到期赎回本次发行的可转债到期后5个交易日内，发行人将按债券面值的106%（含最后一期利息）的价格赎回未转股的可转债。（2）有条件赎回在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加应计利息的价格赎回全部或部分未转股的可转债：①在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113017.SH,吉视传媒,吉视转债,601929.SH,30,15,130,2.23,2018/7/2,2023/12/26,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后5个交易日内，公司将以本次可转换公司债券票面面值的106%(含最后一期利息)的价格向投资者赎回全部未转股的可转换公司债券。（2）有条件赎回条款在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。"
113021.SH,中信银行,中信转债,601998.SH,30,15,130,5.82,2019/9/11,2025/3/3,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在换股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
113024.SH,中国核建,核建转债,601611.SH,30,15,130,7.05,2019/10/14,2025/4/7,2021/11/2,"在本次发行可转债的转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），或未转股金额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价计算。"
113025.SH,明泰铝业,明泰转债,601677.SH,30,15,130,10.9,2019/10/16,2025/4/9,2021/11/2,"在转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（A）在转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（B）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及以后的交易日按调整后的转股价格和收盘价格计算。"
113026.SH,中国核电,核能转债,601985.SH,30,15,130,5.27,2019/10/21,2025/4/14,2021/11/2,"在转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：1）在转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113027.SH,ST华钰,华钰转债,601020.SH,30,15,130,8.82,2019/12/20,2025/6/13,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。前的交易日按调整前的转股价格和收盘价计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价计算。"
113030.SH,东风股份,东风转债,601515.SH,30,15,130,6.11,2020/6/30,2025/12/23,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：（1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）。（2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113033.SH,利群股份,利群转债,601366.SH,30,15,130,6.93,2020/10/9,2026/3/31,2021/11/2,"（1）到期赎回条款本次发行的可转债到期后五个交易日内，公司将按债券面值的110%（含最后一期利息）的价格赎回全部未转股的可转换公司债券。（2）有条件赎回条款在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
113034.SH,滨化股份,滨化转债,601678.SH,30,15,130,5.3,2020/10/16,2026/4/9,2021/11/2,"在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：（1）在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；（2）当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365。IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
113036.SH,宁波建工,宁建转债,601789.SH,30,15,130,3.75,2021/1/11,2026/7/5,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换债券：A、在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转换债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA＝B×i×t/365IA：指当期应计利息；B：指本次发行的可转换债券持有人持有的可转换债券票面总金额；i：指可转换债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113037.SH,紫金银行,紫银转债,601860.SH,30,15,130,3.88,2021/1/29,2026/7/22,2021/11/2,"在本次发行可转债的转股期内，如果发行人A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），发行人有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起发行人转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，发行人有权按面值加当期应计利息的价格赎回全部未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365；IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113039.SH,嘉泽新能,嘉泽转债,601619.SH,30,15,130,3.28,2021/3/1,2026/8/23,2021/11/2,"在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价计算。"
113042.SH,上海银行,上银转债,601229.SH,30,15,130,7.16,2021/7/29,2027/1/24,2021/11/2,"在本次发行可转债的转股期内，如果公司A股普通股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，在调整后的交易日按调整后的转股价格和收盘价计算。此外，当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113043.SH,财通证券,财通转债,601108.SH,30,15,130,10.32,2021/6/16,2026/12/9,2021/11/2,"转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算；②当本次发行的可转债未转股余额不足3,000万元人民币时。上述当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的本次可转债票面总金额；i：指本次可转债当年票面利率；t：指计息天数，首个付息日前，指从计息起始日起至本计息年度赎回日止的实际日历天数（算头不算尾）；首个付息日后，指从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。本次可转债的赎回期与转股期相同，即发行结束之日满六个月后的第一个交易日起至本次可转债到期日止。"
113044.SH,大秦铁路,大秦转债,601006.SH,30,15,120,6.51,2021/6/18,2026/12/13,2021/11/2,"在本次发行可转债的转股期内，如果公司股票在任何连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的120%（含120%），或未转股金额不足人民币3,000万元时，公司董事会有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价计算。"
113046.SH,金田铜业,金田转债,601609.SH,30,15,130,8.49,2021/9/27,2027/3/21,2021/11/2,"1）在本可转债转股期内，如果本公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%（含130%），本公司有权按照可转债面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。2）在本可转债转股期内，当本次发行的可转债未转股的票面金额少于3,000万元（含3,000万元）时，公司有权按可转债面值加当期应计利息赎回全部或部分未转股的可转债。3）当期应计利息的计算公式为:IA=B×i×t/365；IA：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113047.SH,旗滨集团,旗滨转债,601636.SH,30,15,130,18.22,2021/10/15,2027/4/8,2021/11/2,"在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
113048.SH,晶科科技,晶科转债,601778.SH,30,15,130,9.72,2021/10/29,2027/4/22,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：1）在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，指从计息起始日起至本计息年度赎回日止的实际日历天数（算头不算尾）；首个付息日后，指从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
113502.SH,嘉澳环保,嘉澳转债,603822.SH,30,15,130,35.06,2018/5/17,2023/11/9,2021/11/2,"（1）到期赎回条款在本次可转债期满后五个交易日内，公司将以本次可转债票面面值的108%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），或本次发行的可转债未转股余额不足3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。"
113504.SH,艾华集团,艾华转债,603989.SH,30,15,130,23.3,2018/9/10,2024/3/1,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后五个交易日内，公司将以本次可转债票面面值的106%(含最后一期利息)的价格赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：1）在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当本次发行的可转债未转股余额不足3,000万元时。"
113505.SH,杭电股份,杭电转债,603618.SH,30,15,130,5.35,2018/9/12,2024/3/5,2021/11/2,"（1）到期赎回条款在本次发行的可转换公司债券期满后五个交易日内，公司将以本次可转换公司债券票面面值上浮8%（含最后一期利息）的价格向投资者赎回全部未转股的可转换公司债券。（2）有条件赎回条款在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。"
113516.SH,苏农银行,苏农转债,603323.SH,30,15,130,6.81,2019/2/11,2024/8/1,2021/11/2,"在本次发行可转债的转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），经相关监管部门批准（如需），公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。若在上述交易日内发生过因除权、除息等引起公司转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外,当本次发行的可转债未转股的票面总金额不足人民币3,000万元时，公司有权按面值加当期应计利息的价格赎回全部未转股的可转债。"
113519.SH,长久物流,长久转债,603569.SH,30,15,130,11.88,2019/5/13,2024/11/6,2021/11/2,"（1）到期赎回条款在本次发行的可转债期满后5个交易日内，公司将以本次可转债票面面值的115%（含最后一期利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转债未转股余额不足3,000万元时。"
113524.SH,奇精机械,奇精转债,603677.SH,30,15,130,12.15,2019/6/21,2024/12/13,2021/11/2,"在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在转股价格调整日前的交易日按调整前的转股价格和收盘价计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价计算。"
113525.SH,台华新材,台华转债,603055.SH,30,15,130,8.08,2019/6/21,2024/12/16,2021/11/2,"在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：①在转股期内，如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%（含130%）；②当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的将赎回的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在换股价格调整日前的交易日按调整前的转股价格和收盘价格计算，在转股价格调整日及之后的交易日按调整后的转股价格和收盘价格计算。"
113526.SH,联泰环保,联泰转债,603797.SH,30,15,130,11.77,2019/7/29,2025/1/22,2021/11/2,"1、到期赎回条款本次发行的可转债到期后五个交易日内，公司将按债券面值的106%（含最后一期利息）的价格赎回未转股的可转换公司债券。2、有条件赎回条款在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%（含130%），或本次发行的可转换公司债券未转股余额不足人民币3,000万元时，公司有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i：指可转换公司债券当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，在调整后的交易日按调整后的转股价格和收盘价计算。"
113527.SH,锦泓集团,维格转债,603518.SH,30,15,130,8.35,2019/7/30,2025/1/23,2021/11/2,"在本次发行的可转换公司债券转股期内，当下述两种情形的任意一种出现时，公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券：A：在本次发行的可转换公司债券转股期内，如果公司A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B：当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t÷365其中：IA为当期应计利息；B为本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额；i为可转换公司债券当年票面利率；t为计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
